,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
ABTB2,228.96091255863936,-0.07531262467938753,0.1695164894547997,-0.444279048732124,0.6568408468611489,0.9999963907630119,False
AC000032.1,2.447561267198473,0.8594066718766141,1.6100343576623048,0.5337815729127872,0.5934926641940186,0.9999963907630119,False
AC000068.1,3.915995939877425,1.0168055304627064,1.1316150986012594,0.8985436229328645,0.36889579949129137,0.9999963907630119,False
AC000068.2,2.63928794992831,-0.6534057812196054,1.5624960500772427,-0.41818075712082853,0.6758149638583761,0.9999963907630119,False
AC000078.1,18.785675618071853,0.04959030619797726,0.5330175144726698,0.09303691689575799,0.9258742329577561,0.9999963907630119,False
AC000081.1,2.9708238313895166,-2.269124546771616,1.4722312523984242,-1.5412826912042292,0.12324799962456842,0.9999963907630119,False
AC000089.1,27.37679065614637,-0.20158836881574557,0.41552196254796964,-0.48514491888614275,0.6275735506713549,0.9999963907630119,False
AC000120.1,11.987136865878435,-0.2440273755654537,0.6171490539915152,-0.3954107585309669,0.6925397704718708,0.9999963907630119,False
AC000123.1,42.458200532646295,0.4189188070430335,0.3561600796798935,1.1762093253672499,0.23951123894278203,0.9999963907630119,False
AC000123.2,18.02051238270364,-0.20805677434089204,0.5252972751996381,-0.3960743452587309,0.692050183507418,0.9999963907630119,False
AC000123.3,191.3940215711333,0.13013802793271032,0.22483294368557866,0.5788209939318502,0.562709963919747,0.9999963907630119,False
AC000403.1,39.21793019858999,-0.33593686075413953,0.37492210329068554,-0.8960177535696798,0.37024328138197327,0.9999963907630119,False
AC001226.2,15.715327783715502,-0.41378301797853045,0.6156721754354643,-0.6720833496915175,0.5015306357787107,0.9999963907630119,False
AC002056.1,31.84300524048719,0.4171617738561109,0.390631713159625,1.067915788203414,0.28555850003556305,0.9999963907630119,False
AC002059.1,3.8587032990716743,0.42696471957312654,1.132892243848188,0.376880256610126,0.7062625943570037,0.9999963907630119,False
AC002064.1,1.6539811771719188,0.327668934353864,2.156152246234486,0.1519692938780675,0.8792111542538009,0.9999963907630119,False
AC002064.2,2.855289008259001,-2.868434399970923,1.5611172286417225,-1.8374240879185317,0.06614731353037867,0.9999963907630119,False
AC002091.1,13.484004914582245,0.23983359333623985,0.6504301586611171,0.36873073940778994,0.7123284340485105,0.9999963907630119,False
AC002091.2,8.844154991884565,0.1679189930168065,0.7671057495035346,0.21889940614508818,0.8267284090782094,0.9999963907630119,False
AC002116.2,7.90733643006456,0.21245030660312458,0.8453535254680038,0.2513153375512429,0.8015703179661343,0.9999963907630119,False
AC002128.1,4.661967557363996,-0.18991064761500462,1.0650839607913989,-0.1783057999238798,0.858482824123499,0.9999963907630119,False
AC002310.1,7.901318382832566,1.3181543771024926,0.8843495131831299,1.4905355376495029,0.1360834795181819,0.9999963907630119,False
AC002310.2,2.342144590901915,1.3945489733175032,1.4226213337946096,0.9802671590744193,0.326954261128789,0.9999963907630119,False
AC002310.6,28.24816038477366,0.12820042129639536,0.4490525705186523,0.2854908973092501,0.7752680772581424,0.9999963907630119,False
AC002350.1,34.15400166802876,0.11073105308480295,0.41236667196377147,0.2685257093098233,0.7882946881244941,0.9999963907630119,False
AC002398.1,7.664840542491774,-0.18181228095554916,0.8067896616712629,-0.2253527649064385,0.8217048546717085,0.9999963907630119,False
